tweet	date	svm	nb	sa-score	sa-rounded
Hong Kong pro-democracy movement loses ground in by-election https://t.co/95bKV3KDal 	3/12/18	1	0	-0.3182	-1
Hong Kong halts share trading for full day due to typhoon https://t.co/7kyvnCCpHK via @FoxBusiness 	8/23/17	0	0	0.296	1
China's Xi says there's no tolerance for subversion in Hong Kong https://t.co/Zni9oKFGvb 	7/1/17	1	0	0	0
"Hong Kong parking space sold for $664,000 https://t.co/wIgt9DwJNJ "	6/15/17	0	0	0	0
Chinese fighter jets buzz US Navy surveillance plane near Hong Kong 	5/26/17	0	0	0.1531	1
Carrie Lam chosen to be Hong Kong's first female leader  https://t.co/EgWqrwFoX6 https://t.co/wuk4XvRIuv 	3/26/17	0	0	0	0
#HongKong rings in 2017 with a dazzling fireworks display! #FoxNews2017 https://t.co/yE1h5C2N89 	12/31/16	0	0	0	0
Colorful #DragonBoatFestival kicks off in #HongKong | #FOXNewsWorld https://t.co/oWt3Z4IWXH 	6/9/16	0	1	0	0
#HongKong glues down sidewalk for #China official's visit | #FOXNewsWorld https://t.co/4T3JLbOoVK 	5/17/16	0	0	0	0
#China blocks US #Navy aircraft carrier from Hong Kong port https://t.co/7GPE0WmiHU 	4/30/16	0	0	-0.2263	-1
#China blocks US #Navy aircraft carrier from #HongKong port | #FOXNewsWorld https://t.co/f6mJAhAp8M https://t.co/6FvfvzPooJ 	4/29/16	0	0	-0.2263	-1
"Hong Kong lights up 25,000 LED roses for Valentine's Day  https://t.co/B5h3CUqQXm https://t.co/c6JxxUJmYO "	2/14/16	0	0	0	0
"Dozens arrested, injured after Hong Kong protesters clash with police https://t.co/qDbDLLf7qq https://t.co/rhf31ai3E3 "	2/9/16	0	0	-0.7717	-1
Questions raised after five employees of Hong Kong publishing company that criticized China vanish https://t.co/DEmhnPmm1B 	1/4/16	0	0	-0.3612	-1
"Hong Kong rings in the New Year w/ festive fireworks! Don't miss Fox News' celebration tonight, 9p ET. #FoxNews2016 https://t.co/3NBJiysCF5 "	12/31/15	1	1	0.577	1
UPDATE: Buyer who purchased rare blue diamond for record $48.5M identified as Hong Kong tycoon https://t.co/UwqPJbiZAp 	11/12/15	0	0	0.34	1